# Massacre missions in the maintainer's own store, 2026-09-09..19 (read-only), for the hand-in / completion fixes
# (tester feedback id 5, 0.3.4: "EDDA keeps saying Yamazaki Port"). Per mission: the DestinationSystem/Station the
# MissionAccepted carried, the station the commander was DOCKED AT when accepting, the game's MissionRedirected
# NewDestinationSystem/Station, and every station docked at during the mission's life. Script: knobs/mission_handins.py.
# VERDICT: 74 massacres; 64 redirected, and in 64 of 64 NewDestinationStation == the station docked at on acceptance
# (0 disagreements; 10 never redirected). DestinationStation at acceptance is a station IN THE TARGET SYSTEM (Hooke
# Landing / Yamazaki Base, both in Anana per /v1/stations) that he never docked at during any mission (0 of 74) --
# it is where to kill, not where to hand in. So the hand-in is the giver station (docked-at-acceptance) until
# MissionRedirected, and the current display named a never-visited station for every one of these missions.
# App log 2026-09-16..19: 40 per-event "Objective complete" callouts (callouts.rs) vs 49 pass-level "Mission complete:
# N kills" (watcher::mission_redirected); 18 seconds carried BOTH (the duplicate), and 4 seconds carried 2-3
# "Objective complete" lines at once (one per redirected mission).
mission_id,accepted,giver,target,dest_system_at_accept,dest_station_at_accept,dest_station_system_if_known,docked_system_at_accept,docked_station_at_accept,redirect_ts,new_system,new_station,redirect_station_eq_docked_at_accept,dest_station_in_target_system,end_event,docked_during
1065912132,2026-09-13T14:56:14Z,Labour Union of Ahayan,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Piaget Orbital,2026-09-13T17:07:36Z,HIP 90112,Piaget Orbital,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112)
1065912168,2026-09-13T14:56:38Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Piaget Orbital,2026-09-13T17:10:55Z,HIP 90112,Piaget Orbital,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112)
1065912182,2026-09-13T14:56:56Z,New HIP 90112 for Equality,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Piaget Orbital,2026-09-13T17:39:22Z,HIP 90112,Piaget Orbital,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112)
1065912450,2026-09-13T15:00:54Z,Natural HIP 90112 Party,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Townshend Settlement,2026-09-13T17:25:24Z,HIP 90112,Townshend Settlement,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112)
1065912457,2026-09-13T15:01:03Z,Pilots Trade Network,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Townshend Settlement,2026-09-13T18:03:16Z,HIP 90112,Townshend Settlement,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112)
1065912485,2026-09-13T15:01:23Z,Labour Union of Ahayan,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Townshend Settlement,,,,,,MissionAbandoned,Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112)
1065942256,2026-09-13T19:47:10Z,New HIP 90112 for Equality,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Piaget Orbital,2026-09-13T21:31:37Z,HIP 90112,Piaget Orbital,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065942276,2026-09-13T19:47:20Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Piaget Orbital,2026-09-13T21:18:34Z,HIP 90112,Piaget Orbital,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065942287,2026-09-13T19:47:33Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Piaget Orbital,2026-09-13T23:00:30Z,HIP 90112,Piaget Orbital,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065942304,2026-09-13T19:47:45Z,New HIP 90112 for Equality,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Piaget Orbital,2026-09-13T22:40:46Z,HIP 90112,Piaget Orbital,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065942325,2026-09-13T19:48:03Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Piaget Orbital,2026-09-14T00:00:48Z,HIP 90112,Piaget Orbital,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
