# Dashboard no-data audit, 2026-09-20: every panel target in deploy/monitoring/dashboards/*.json (95 targets, 4 dashboards) classified from the repo. Static only: the live half (Grafana /api/ds/query through the ssh tunnel) needs the admin credential in /etc/edda/grafana-admin on the box, which this session could not read (anonymous 401, factory admin/admin rejected, no local copy); GRAFANA_USER/GRAFANA_PASSWORD to the knob runs it.
# VERDICT: 28 of 95 targets could not have data on the box as deployed - 18 Host Health (node_*) and 6 Server Postgres-row (pg_*) targets had NO SCRAPE TARGET (no node_exporter, no postgres_exporter installed or scraped: vm-scrape.yml scraped only ed-api :8787 and ed-eddn :8788); 4 Clients targets (panels 19-22) filter on label values no client code emits (callsite edda::coverage_gap::*, feature flags data_source_remote / api_fallback_always - pre-registered panels, emitter not landed, kept and annotated). The other 67 reference series the tree emits with the labels the panels use; if any of them shows No data it is quiet-not-broken (class b) and only the live run can say so. The task's premise that edda_app_downloads_total is emitted by nothing is WRONG: crates/ed-api/src/http.rs:1146 emits it with labels file,via; the two Server panels (6, 7) are left as they are.
# FIX (this PR): setup-monitoring.sh installs prometheus-node-exporter (:9100) and prometheus-postgres-exporter (:9187), both loopback-bound; vm-scrape.yml gains jobs node and postgres; edda-vm.service gains ExecReload so a re-run picks up the scrape config; Host panel 10 no longer hard-codes device=eth0. BOX ACTION: re-run deploy/monitoring/setup-monitoring.sh as root (not just `edda-apply dashboards` - the scrape config and the exporters live outside the dashboards inbox), then re-run the knob with the credential to fill live_24h/live_7d.
# static_before = untouched main (what the box runs today); static_after = this branch. Classes: OK (series emitted + scraped), absent:no-scrape-job (a), absent:no-emitter (a), label:never-emitted(...) (c), sql (Postgres datasource; columns checked against migration 0008).
# knob: docs/benches/knobs/dashboard_audit.py (EDDA_ROOT=<checkout> python3 docs/benches/knobs/dashboard_audit.py); live columns not-run this time, see line 1.
dashboard,panel_id,panel,datasource,expr,series,emitter,scrape_job_after,static_before,static_after,live_24h,live_7d
edda-clients,1,Client warns/errors by callsite (top 10),edda-vm,"topk(10, sum by (callsite, level) (increase(edda_client_events_total[1h])))",edda_client_events_total,edda_client_events_total=crates/ed-api/src/http.rs:1258,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,2,Errors by version,edda-vm,"sum by (version, level) (increase(edda_client_events_total[6h]))",edda_client_events_total,edda_client_events_total=crates/ed-api/src/http.rs:1258,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,3,Timing p95 by kind (ms),edda-vm,"histogram_quantile(0.95, sum by (le, kind) (rate(edda_client_timing_ms_bucket[6h])))",edda_client_timing_ms,edda_client_timing_ms=crates/ed-api/src/http.rs:1267,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,3,Timing p95 by kind (ms),edda-vm,"histogram_quantile(0.50, sum by (le, kind) (rate(edda_client_timing_ms_bucket[6h])))",edda_client_timing_ms,edda_client_timing_ms=crates/ed-api/src/http.rs:1267,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,4,Failed operations /h by kind,edda-vm,"sum by (kind) (increase(edda_client_timing_ms_count{ok=""false""}[1h]))",edda_client_timing_ms,edda_client_timing_ms=crates/ed-api/src/http.rs:1267,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,5,"Feature adoption (batches reporting enabled, 24h)",edda-vm,sum by (name) (increase(edda_client_feature_total[24h])),edda_client_feature_total,edda_client_feature_total=crates/ed-api/src/http.rs:1276,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,6,Telemetry batches by outcome,edda-vm,sum by (outcome) (increase(edda_telemetry_batches_total[1h])),edda_telemetry_batches_total,edda_telemetry_batches_total=crates/ed-api/src/http.rs:1251,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,8,Trade search latency (ms),edda-vm,"histogram_quantile(0.95, sum by (le) (rate(edda_client_timing_ms_bucket{kind=""trade""}[6h])))",edda_client_timing_ms,edda_client_timing_ms=crates/ed-api/src/http.rs:1267,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,8,Trade search latency (ms),edda-vm,"histogram_quantile(0.50, sum by (le) (rate(edda_client_timing_ms_bucket{kind=""trade""}[6h])))",edda_client_timing_ms,edda_client_timing_ms=crates/ed-api/src/http.rs:1267,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,9,Trade search p95 by version (ms) — 0.2.5 before/after,edda-vm,"histogram_quantile(0.95, sum by (le, version) (rate(edda_client_timing_ms_bucket{kind=""trade""}[6h])))",edda_client_timing_ms,edda_client_timing_ms=crates/ed-api/src/http.rs:1267,edda-api,OK,OK,not-run(no credential),not-run(no credential)
