# First-reach vs redirect: WHEN the store first inferred a massacre complete (kills_done reached KillCount) against WHEN the
# game said so (MissionRedirected), maintainer's store read-only, 66 redirected massacres 2026-09-09..19. This is the
# instrument the capped counter could not be: a count capped at KillCount reads "exact" at the redirect whether it got
# there on time or hours early. Harness: knobs/mission_first_reach_replay_harness_v3.rs (appended to src-tauri/src/watcher.rs,
# EDDA_REPLAY_DB=... EDDA_REPLAY_OUT=... cargo test --release -p edda replay_journal_v3 -- --ignored). lead_seconds =
# redirect - first_reach: positive = inferred EARLY (over-credit), negative = inferred LATE (under-count), |lead| <= 60 on time.
# Two rule sets: CONSECUTIVE = missions/consecutive-kill-credit (#103, one mission per giver at a time, earliest first);
# CONCURRENT = main a8a6390-era (every live mission of the target faction credited per kill).
# VERDICT: CONSECUTIVE early=0 on_time=35 late=31 never=0; CONCURRENT early=15 on_time=25 late=26 never=0. Concurrent
# over-credits 15 same-giver duplicates by a median 3.4 h (max 14.2 h) — the 2026-09-16 ruling "consecutive within a giver"
# was RIGHT and the 2026-09-19 kill-credit-at-redirect verdict (1) that refuted it was an instrument error (retracted there).
# The 31 late ones under BOTH rules (median 3 min, worst 7.4 h) are the under-count: kills the ship never scanned write no
# Bounty (live the same day: 3 in game vs 1 in the journal, then 13 vs 9). Consequence: kill counting removed from EDDA
# (maintainer ruling, 2026-09-19); this record is the why. Rows below: consecutive first, then concurrent.
#rule=consecutive
mission_id,giver,target,kill_count,accepted,first_reached,redirected,lead_seconds,verdict
1065912132,"Labour Union of Ahayan","Anana Brotherhood",25,2026-09-13T14:56:14Z,2026-09-13T17:08:18Z,2026-09-13T17:07:36Z,-42,on time
1065912168,"HIP 90112 Jet Central Corp.","Anana Brotherhood",30,2026-09-13T14:56:38Z,2026-09-13T17:11:21Z,2026-09-13T17:10:55Z,-26,on time
1065912182,"New HIP 90112 for Equality","Anana Brotherhood",45,2026-09-13T14:56:56Z,2026-09-13T17:43:16Z,2026-09-13T17:39:22Z,-234,late
1065912450,"Natural HIP 90112 Party","Anana Brotherhood",35,2026-09-13T15:00:54Z,2026-09-13T17:25:49Z,2026-09-13T17:25:24Z,-25,on time
1065912457,"Pilots Trade Network","Anana Brotherhood",56,2026-09-13T15:01:03Z,2026-09-13T18:04:13Z,2026-09-13T18:03:16Z,-57,on time
1065942256,"New HIP 90112 for Equality","Anana Brotherhood",36,2026-09-13T19:47:10Z,2026-09-13T21:31:56Z,2026-09-13T21:31:37Z,-19,on time
1065942276,"HIP 90112 Jet Central Corp.","Anana Brotherhood",30,2026-09-13T19:47:20Z,2026-09-13T21:22:03Z,2026-09-13T21:18:34Z,-209,late
1065942287,"HIP 90112 Jet Central Corp.","Anana Brotherhood",54,2026-09-13T19:47:33Z,2026-09-13T23:03:45Z,2026-09-13T23:00:30Z,-195,late
1065942304,"New HIP 90112 for Equality","Anana Brotherhood",35,2026-09-13T19:47:45Z,2026-09-13T22:44:55Z,2026-09-13T22:40:46Z,-249,late
1065942325,"HIP 90112 Jet Central Corp.","Anana Brotherhood",32,2026-09-13T19:48:03Z,2026-09-14T00:00:58Z,2026-09-14T00:00:48Z,-10,on time
1065942355,"Labour Union of Ahayan","Anana Brotherhood",35,2026-09-13T19:48:23Z,2026-09-13T21:31:36Z,2026-09-13T21:31:04Z,-32,on time
1065942829,"New HIP 90112 for Equality","Anana Brotherhood",36,2026-09-13T19:52:37Z,2026-09-13T23:52:31Z,2026-09-13T23:52:06Z,-25,on time
1065942863,"HIP 90112 Jet Central Corp.","Anana Brotherhood",35,2026-09-13T19:53:00Z,2026-09-14T01:07:31Z,2026-09-14T01:06:05Z,-86,late
1065942878,"HIP 90112 Jet Central Corp.","Anana Brotherhood",30,2026-09-13T19:53:08Z,2026-09-14T01:45:16Z,2026-09-14T01:44:48Z,-28,on time
1065942892,"HIP 90112 Jet Central Corp.","Anana Brotherhood",48,2026-09-13T19:53:15Z,2026-09-14T02:39:44Z,2026-09-14T02:39:20Z,-24,on time
1065942908,"New HIP 90112 for Equality","Anana Brotherhood",20,2026-09-13T19:53:30Z,2026-09-14T00:27:14Z,2026-09-14T00:26:33Z,-41,on time
1065942924,"Labour Union of Ahayan","Anana Brotherhood",30,2026-09-13T19:53:41Z,2026-09-13T22:26:23Z,2026-09-13T22:23:10Z,-193,late
